name;year;denom_pop_25_over;Bachelor's Degree or Higher
Irwindale;2022;1095,15;19,91
Pico-Union;2022;25829,46;15,47
Glendora;2022;35746,7;3,73
Industry;2022;9114,76;24,16
Sylmar;2022;53069,47;19,97
Torrance;2022;105686,65;5,27
Alhambra;2022;61884,83;38,38
Pico Rivera;2022;42971,22;14,69
Rolling Hills Estates;2022;7129,61;7,23
Signal Hill;2022;8797,16;41,03
Hawthorne;2022;59944,46;24,33
North Hills;2022;38053,59;24,54
Hacienda Heights;2022;39542,64;35,53
Harbor Gateway;2022;27105,9;24,73
Lopez/Kagel Canyons;2022;1134,53;29,02
Citrus;2022;8134,78;19,34
Lake Balboa;2022;18812,44;34,29
Granada Hills;2022;41095,75;37,02
Palms;2022;32230,74;68,34
Santa Monica;2022;72070,8;67,77
Pacoima;2022;47211,8;10,32
Toluca Lake;2022;7783,48;55,38
Veterans Administration;2022;1254,36;7,66
Valley Village;2022;20005,12;52,22
Brentwood;2022;24890,31;80,62
Pomona;2022;95304,32;18,29
South Whittier;2022;34784,17;1,78
Pasadena;2022;106002,72;54,75
Winnetka;2022;36274,28;29,74
Palmdale;2022;103719,2;16,12
Porter Ranch;2022;17734,78;56,19
South El Monte;2022;13682,41;9,61
Tujunga Canyons;2022;5450,03;33,83
Commerce;2022;8645,63;12,06
San Fernando;2022;16277,37;14,25
Sherman Oaks;2022;55385,06;62,44
Bradbury;2022;960,29;5,45
Panorama City;2022;43171,86;17,63
Northridge;2022;44718,35;41,64
Culver City;2022;30798,62;6,27
Lakewood;2022;58018,76;33,25
Compton;2022;60176,79;10,45
Vernon;2022;216,76;13,42
San Dimas;2022;26593,68;37,78
Inglewood;2022;75181,19;22,67
Charter Oak;2022;6375,99;3,02
Paramount;2022;32896,01;13,09
San Pedro;2022;59461,98;30,62
Lincoln Heights;2022;19909,86;19,47
Boyle Heights;2022;55310,58;12,15
Historic South-Central;2022;30025,18;7,72
Avalon;2022;2379,61;16,74
Westlake;2022;74729,35;25,34
Mission Hills;2022;13553,79;21,48
Quartz Hill;2022;7328,71;27,14
Marina del Rey;2022;7651,8;73,14
Bell;2022;20683,99;0,88
Long Beach;2022;317386,49;33,41
San Gabriel;2022;30434,17;34,18
Downey;2022;77271,89;25,04
Diamond Bar;2022;34684,53;5,23
La Canada Flintridge;2022;13562,4;73,64
West Covina;2022;77819,39;29,86
Redondo Beach;2022;50726,67;64,89
Vermont Square;2022;34549,51;12,09
Santa Fe Springs;2022;15793,27;19,77
Calabasas;2022;16125,34;68,86
Altadena;2022;30723,33;52,15
Bell Gardens;2022;24047,33;6,24
Sun Valley;2022;46994,46;17,49
Playa Vista;2022;11538,37;78,73
Carson;2022;67479,95;29,23
Hollywood Hills;2022;17554,52;6,43
Lancaster;2022;109189,72;19,18
Leona Valley;2022;744,38;34,76
Whittier;2022;57691,6;27,65
Walnut;2022;20690,52;55,47
Castaic Canyons;2022;34413,82;39,02
Silver Lake;2022;24641,58;61,19
Whittier Narrows;2022;556,02;33,61
Glendale;2022;144261,55;43,77
West Whittier-Los Nietos;2022;16630,81;16,99
Atwater Village;2022;9505,62;49,87
East Whittier;2022;7112,17;30,17
El Sereno;2022;27272,23;24,02
Montecito Heights;2022;13795,46;41,27
Florence;2022;31411,73;6,67
Huntington Park;2022;34240,67;7,73
Cheviot Hills;2022;5849,71;75,41
Cypress Park;2022;5898,09;24,96
Desert View Highlands;2022;1404,28;15,64
Baldwin Park;2022;48071,83;14,13
Montebello;2022;43521,96;21,45
Leimert Park;2022;9530,73;30,42
Santa Clarita;2022;122288,43;37,64
Elysian Park;2022;1935,85;37,82
Wilmington;2022;33734,81;9,86
Jefferson Park;2022;16960,84;23,86
Downtown;2022;55750,17;47,18
Encino;2022;35409,1;58,99
West Adams;2022;14340,09;23,32
Hawaiian Gardens;2022;8821,2;17,87
Agoura Hills;2022;11716,39;64,96
Baldwin Hills/Crenshaw;2022;24141,58;34,89
Lake View Terrace;2022;8770,36;18,58
Adams-Normandie;2022;11309,83;18,96
El Monte;2022;71642,21;13,71
Rancho Dominguez;2022;2322,65;22,71
Acton;2022;2417,64;27,66
Studio City;2022;31190,49;63,25
La Puente;2022;25687,66;11,81
North Hollywood;2022;56389,22;34,39
Rosemead;2022;37033,35;21,71
San Marino;2022;9027,46;79,87
East San Gabriel;2022;15178,81;43,74
South Park;2022;20251,85;7,83
Burbank;2022;78012,63;4,49
Woodland Hills;2022;53093,62;55,59
Angeles Crest;2022;1870,01;33,33
East Compton;2022;7333,07;6,02
Chatsworth;2022;38139,1;46,35
Mayflower Village;2022;7017,89;29,22
Koreatown;2022;74458,09;37,77
South Gate;2022;58854,47;11,47
Elysian Valley;2022;5388,43;35,09
Claremont;2022;26477,71;57,36
Avocado Heights;2022;9301,06;2,01
South San Gabriel;2022;5778,86;31,87
Northwest Antelope Valley;2022;2944,46;23,38
Echo Park;2022;27020,61;46,85
Lynwood;2022;41986,29;9,05
Unincorporated Santa Susana Mountains;2022;15734,47;49,58
Shadow Hills;2022;9838,5;35,86
La Habra Heights;2022;4606,95;56,44
Covina;2022;39248,06;26,25
Northwest Palmdale;2022;2539,73;2,41
Sawtelle;2022;31900,87;6,73
Rancho Park;2022;4053,53;70,27
East Los Angeles;2022;74731;11,02
Beverlywood;2022;4422,32;7,29
Bellflower;2022;52953,43;19,67
Azusa;2022;31478,03;25,66
Del Rey;2022;22853,42;50,72
Mid-Wilshire;2022;32211,19;61,23
North Whittier;2022;4842,96;39,96
Beverly Crest;2022;7499,26;70,23
Cerritos;2022;36296,67;55,06
West Hills;2022;28681,91;4,98
Vincent;2022;9074,31;22,34
Sun Village;2022;1074,31;6,15
Playa del Rey;2022;9768,92;71,78
Valinda;2022;12599,66;1,62
Tujunga;2022;20766,37;29,33
Exposition Park;2022;22196,13;16,41
Eagle Rock;2022;24693,76;50,02
Harbor City;2022;17329,25;28,84
Southeast Antelope Valley;2022;5598,63;21,07
Reseda;2022;48273,27;28,42
Willowbrook;2022;22224,97;14,09
Highland Park;2022;36706,39;3,59
Temple City;2022;26904,19;41,44
Westlake Village;2022;5501,21;70,35
Pico-Robertson;2022;11249,15;63,48
Monrovia;2022;27737,63;42,97
Broadway-Manchester;2022;16979,79;8,34
Sunland;2022;12806,8;32,44
Agua Dulce;2022;3307,01;26,83
Malibu;2022;5998,01;7,04
Topanga;2022;5865,08;62,89
Northeast Antelope Valley;2022;12365,99;1,11
Arleta;2022;22867,15;13,93
Van Nuys;2022;76542,49;25,18
Mar Vista;2022;26964,47;6,31
Valley Glen;2022;40080,92;33,12
Arcadia;2022;42635,91;53,55
Windsor Square;2022;4853,96;50,96
West Puente Valley;2022;12589,44;14,09
Central-Alameda;2022;26505;6,53
Arlington Heights;2022;14251,74;27,06
Harvard Heights;2022;12743,51;24,98
Harvard Park;2022;6936,83;9,67
East Hollywood;2022;47107,02;31,61
Lennox;2022;11524,38;12,23
Larchmont;2022;6574,47;49,99
Tarzana;2022;26783,58;51,13
Rolling Hills;2022;1841,09;74,35
Mid-City;2022;36474,33;36,76
Westchester;2022;28492,31;62,25
Manchester Square;2022;8570,96;19,34
Rowland Heights;2022;34203,02;37,37
Ridge Route;2022;4244,99;33,42
South San Jose Hills;2022;12432,02;1,12
Vermont-Slauson;2022;19508,7;10,13
Athens;2022;6317,23;22,71
Mount Washington;2022;11073,13;49,87
West Compton;2022;4347,02;13,35
Los Feliz;2022;26939,56;67,24
Chinatown;2022;11994,09;26,58
Century City;2022;4632,1;71,18
Florence-Firestone;2022;37654,43;6,79
University Park;2022;8258,22;36,96
Hollywood Hills West;2022;11334,95;70,57
Unincorporated Santa Monica Mountains;2022;12275,69;66,66
West Los Angeles;2022;10104,77;77,26
Hancock Park;2022;8226,47;66,83
Canoga Park;2022;42447,44;24,07
Chesterfield Square;2022;5851,62;10,79
Hidden Hills;2022;1152,17;71,26
Norwalk;2022;68318,32;20,11
North El Monte;2022;1873,15;33,75
Monterey Park;2022;45396,21;33,28
Hollywood;2022;59354,84;48,06
Fairfax;2022;10463,12;67,97
Glassell Park;2022;16793,96;39,76
Watts;2022;23628,78;5,98
La Verne;2022;22288,51;40,68
Rancho Palos Verdes;2022;29847,06;68,94
Green Meadows;2022;20760,06;8,45
Del Aire;2022;5611,62;40,79
Vermont Knolls;2022;14073,14;9,82
Castaic;2022;7412,45;42,23
Westwood;2022;24368,46;74,83
Venice;2022;26785,16;0,7
South Diamond Bar;2022;2759,4;52,23
Universal City;2022;;
Pacific Palisades;2022;15982,38;77,92
Bel-Air;2022;4534,17;72,91
East Pasadena;2022;3763,21;48,61
Cudahy;2022;13231,3;5,31
Palos Verdes Estates;2022;9445,8;7,98
Ladera Heights;2022;5060,72;60,32
Walnut Park;2022;10571,05;9,48
La Crescenta-Montrose;2022;13797,07;52,96
Gardena;2022;43144,92;26,89
Duarte;2022;16226,97;33,25
La Mirada;2022;32563,05;38,82
Maywood;2022;15040,78;8,66
Alondra Park;2022;5849,49;26,44
Beverly Grove;2022;17765,14;70,37
Vermont Vista;2022;16668,89;10,53
Lawndale;2022;21120,39;20,15
Hyde Park;2022;24753,13;21,59
Lomita;2022;14793,07;39,14
South Pasadena;2022;19095,76;71,77
Westmont;2022;21367,75;11,09
San Pasqual;2022;1470,2;7,48
West Hollywood;2022;31914,31;61,51
Artesia;2022;11565,89;28,98
Manhattan Beach;2022;24139,2;78,17
West Carson;2022;17506,57;35,03
Hermosa Beach;2022;14963,58;78,31
Carthay;2022;3728,83;6,44
Beverly Hills;2022;24821,54;65,49
El Segundo;2022;12627,8;61,27
View Park-Windsor Hills;2022;9423,12;60,62
Sierra Madre;2022;8729,98;6,47
Gramercy Park;2022;7640,02;23,24
Aggregated;2022;6884411,77;34,56
