name;year;total_pop
Irwindale;2022;1574,77
Pico-Union;2022;37698,79
Glendora;2022;52772,22
Industry;2022;12869,91
Sylmar;2022;79799,12
Torrance;2022;145041,38
Alhambra;2022;82127,38
Pico Rivera;2022;62227,46
Rolling Hills Estates;2022;9685,96
Signal Hill;2022;11912,24
Hawthorne;2022;91505,43
North Hills;2022;58863,85
Hacienda Heights;2022;54385,27
Harbor Gateway;2022;40114,99
Lopez/Kagel Canyons;2022;1555,5
Citrus;2022;13122,89
Lake Balboa;2022;26628,28
Granada Hills;2022;56383,47
Palms;2022;39682,22
Santa Monica;2022;90499,06
Pacoima;2022;74640,03
Toluca Lake;2022;9701,99
Veterans Administration;2022;1404,94
Valley Village;2022;26099,48
Brentwood;2022;32871,41
Pomona;2022;151894,25
South Whittier;2022;53855,28
Pasadena;2022;140484,43
Winnetka;2022;52914,53
Palmdale;2022;170286,68
Porter Ranch;2022;24038,88
South El Monte;2022;20490,63
Tujunga Canyons;2022;7847,64
Commerce;2022;12321,54
San Fernando;2022;23932,33
Sherman Oaks;2022;70142,88
Bradbury;2022;1135,57
Panorama City;2022;66478,61
Northridge;2022;66437,61
Culver City;2022;40325,56
Lakewood;2022;82283,53
Compton;2022;96592,17
Vernon;2022;378,33
San Dimas;2022;36869,68
Inglewood;2022;108898,34
Charter Oak;2022;8779,62
Paramount;2022;53200,86
San Pedro;2022;82678,91
Lincoln Heights;2022;28014,56
Boyle Heights;2022;89930,26
Historic South-Central;2022;49266,6
Avalon;2022;3349,6
Westlake;2022;108244,65
Mission Hills;2022;18425,26
Quartz Hill;2022;10223,92
Marina del Rey;2022;10010,92
Bell;2022;33551,91
Long Beach;2022;460519,8
San Gabriel;2022;40094,58
Downey;2022;114062,18
Diamond Bar;2022;47105,5
La Canada Flintridge;2022;20336,66
West Covina;2022;109505,3
Redondo Beach;2022;70436,18
Vermont Square;2022;52276,13
Santa Fe Springs;2022;23063,5
Calabasas;2022;22955,77
Altadena;2022;41572,46
Bell Gardens;2022;39316,02
Sun Valley;2022;68764,78
Playa Vista;2022;14982,43
Carson;2022;94657,41
Hollywood Hills;2022;20327,18
Lancaster;2022;173331,87
Leona Valley;2022;933,33
Whittier;2022;85261,91
Walnut;2022;28076,02
Castaic Canyons;2022;50935,56
Silver Lake;2022;29763,27
Whittier Narrows;2022;864,54
Glendale;2022;194233,96
West Whittier-Los Nietos;2022;23752,93
Atwater Village;2022;11701,85
East Whittier;2022;10243,3
El Sereno;2022;39782,04
Montecito Heights;2022;17913,09
Florence;2022;53198,95
Huntington Park;2022;54577,27
Cheviot Hills;2022;7578,65
Cypress Park;2022;8139,31
Desert View Highlands;2022;2088,32
Baldwin Park;2022;71300,15
Montebello;2022;62271,13
Leimert Park;2022;12474,14
Santa Clarita;2022;185016,11
Elysian Park;2022;2479,76
Wilmington;2022;54945,7
Jefferson Park;2022;24159,97
Downtown;2022;65760,21
Encino;2022;47776,28
West Adams;2022;20939,35
Hawaiian Gardens;2022;13933,86
Agoura Hills;2022;16534
Baldwin Hills/Crenshaw;2022;33442,17
Lake View Terrace;2022;12555,33
Adams-Normandie;2022;18113,48
El Monte;2022;106787,94
Rancho Dominguez;2022;3293,86
Acton;2022;3268,81
Studio City;2022;39914,01
La Puente;2022;37696,38
North Hollywood;2022;76442,23
Rosemead;2022;50897,09
San Marino;2022;12533,58
East San Gabriel;2022;21001,86
South Park;2022;34967,71
Burbank;2022;106215,83
Woodland Hills;2022;71976,57
Angeles Crest;2022;2510,64
East Compton;2022;12018,9
Chatsworth;2022;52374,84
Mayflower Village;2022;9869,91
Koreatown;2022;102098,86
South Gate;2022;91833,54
Elysian Valley;2022;6916,78
Claremont;2022;39251,46
Avocado Heights;2022;13747,31
South San Gabriel;2022;7579,3
Northwest Antelope Valley;2022;4058,2
Echo Park;2022;34170,26
Lynwood;2022;66716,21
Unincorporated Santa Susana Mountains;2022;23783,6
Shadow Hills;2022;13596,31
La Habra Heights;2022;6083,13
Covina;2022;55823,06
Northwest Palmdale;2022;3363,53
Sawtelle;2022;40340,16
Rancho Park;2022;5405,62
East Los Angeles;2022;116093,31
Beverlywood;2022;6837,27
Bellflower;2022;78328,24
Azusa;2022;48382,04
Del Rey;2022;29114,46
Mid-Wilshire;2022;40548,25
North Whittier;2022;6505,49
Beverly Crest;2022;9771,58
Cerritos;2022;49042,37
West Hills;2022;39113,6
Vincent;2022;13341,22
Sun Village;2022;1745,68
Playa del Rey;2022;11497,68
Valinda;2022;18807,08
Tujunga;2022;27670,84
Exposition Park;2022;36013,38
Eagle Rock;2022;34160,93
Harbor City;2022;26093,07
Southeast Antelope Valley;2022;7922,55
Reseda;2022;70095,12
Willowbrook;2022;35683,83
Highland Park;2022;48925,61
Temple City;2022;37206,72
Westlake Village;2022;7611,02
Pico-Robertson;2022;15764,52
Monrovia;2022;39482,53
Broadway-Manchester;2022;29797,04
Sunland;2022;16427,73
Agua Dulce;2022;4306,96
Malibu;2022;8509,18
Topanga;2022;7727,26
Northeast Antelope Valley;2022;20187,84
Arleta;2022;33999,1
Van Nuys;2022;112116,5
Mar Vista;2022;35056,41
Valley Glen;2022;55342,57
Arcadia;2022;59228,2
Windsor Square;2022;6245,91
West Puente Valley;2022;18888,72
Central-Alameda;2022;44273,54
Arlington Heights;2022;20038,16
Harvard Heights;2022;17989,15
Harvard Park;2022;10334,53
East Hollywood;2022;63103,64
Lennox;2022;17615,68
Larchmont;2022;8334,28
Tarzana;2022;36664,25
Rolling Hills;2022;2494,2
Mid-City;2022;49038,49
Westchester;2022;41803,17
Manchester Square;2022;12536,53
Rowland Heights;2022;45810,63
Ridge Route;2022;6493,15
South San Jose Hills;2022;18649,53
Vermont-Slauson;2022;31390,76
Athens;2022;9933,67
Mount Washington;2022;13937,24
West Compton;2022;6338,97
Los Feliz;2022;32194,34
Chinatown;2022;15134,69
Century City;2022;5719,76
Florence-Firestone;2022;64052,62
University Park;2022;22913,58
Hollywood Hills West;2022;13620,08
Unincorporated Santa Monica Mountains;2022;18874,14
West Los Angeles;2022;13429,19
Hancock Park;2022;10356,4
Canoga Park;2022;63180,52
Chesterfield Square;2022;8806,45
Hidden Hills;2022;1692,8
Norwalk;2022;100638,18
North El Monte;2022;2405,93
Monterey Park;2022;60419,85
Hollywood;2022;72969,13
Fairfax;2022;13397,46
Glassell Park;2022;22813,92
Watts;2022;40917,74
La Verne;2022;31185,78
Rancho Palos Verdes;2022;41606,02
Green Meadows;2022;35363,39
Del Aire;2022;8112,14
Vermont Knolls;2022;23963,68
Castaic;2022;11081,07
Westwood;2022;53075,59
Venice;2022;32500,17
South Diamond Bar;2022;3985,08
Universal City;2022;
Pacific Palisades;2022;22882,77
Bel-Air;2022;6478,88
East Pasadena;2022;5082,61
Cudahy;2022;22154,36
Palos Verdes Estates;2022;12898,35
Ladera Heights;2022;6570,28
Walnut Park;2022;15987,39
La Crescenta-Montrose;2022;19836,61
Gardena;2022;60053,07
Duarte;2022;21498,48
La Mirada;2022;47494,27
Maywood;2022;24846,46
Alondra Park;2022;8277,28
Beverly Grove;2022;20369,65
Vermont Vista;2022;27311,44
Lawndale;2022;31424,85
Hyde Park;2022;35932,01
Lomita;2022;20558,57
South Pasadena;2022;26496,05
Westmont;2022;35225,83
San Pasqual;2022;1916,01
West Hollywood;2022;35279,39
Artesia;2022;16175,01
Manhattan Beach;2022;35023,99
West Carson;2022;22177,82
Hermosa Beach;2022;19498,32
Carthay;2022;4751,25
Beverly Hills;2022;32370
El Segundo;2022;17061,57
View Park-Windsor Hills;2022;11975
Sierra Madre;2022;11139,46
Gramercy Park;2022;10692,02
